GW,mean_kmeans_mJ,mean_minibatch_mJ,mean_bisecting_mJ,mean_fcm_mJ,min_kmeans_mJ,min_minibatch_mJ,min_bisecting_mJ,min_fcm_mJ,max_kmeans_mJ,max_minibatch_mJ,max_bisecting_mJ,max_fcm_mJ
1,24.03,24.02,24.03,24.03,8.08,8.08,8.08,8.08,108.47,108.47,108.47,108.47
2,14.59,15.23,14.90,14.65,8.08,8.06,8.10,8.08,57.92,58.68,59.94,59.94
3,10.84,10.95,11.27,10.91,8.06,8.06,8.06,8.06,30.94,31.14,31.79,30.94
4,9.93,9.99,9.98,9.96,8.05,8.05,8.06,8.06,16.19,15.01,18.95,16.57
5,9.57,9.80,9.69,9.57,8.05,8.05,8.05,8.05,15.83,19.07,15.86,15.83
6,9.50,9.50,9.55,9.48,8.05,8.05,8.05,8.05,14.03,14.75,15.33,13.65
7,9.28,9.30,9.36,9.34,8.05,8.05,8.05,8.05,14.16,14.16,14.41,14.03
8,9.21,9.21,9.29,9.23,8.05,8.05,8.05,8.05,14.06,14.06,14.62,14.62
9,9.20,9.24,9.26,9.24,8.05,8.05,8.05,8.05,15.93,15.93,15.93,15.93
10,9.14,9.14,9.20,9.15,8.05,8.05,8.05,8.05,16.60,16.60,16.60,16.60
