GW,v_kmeans,v_minibatch,v_bisecting,v_fcm,p_kmeans,p_minibatch,p_bisecting,p_fcm
1,0.9488,0.9484,0.9488,0.9488,0.0000,0.0000,0.0000,0.0000
2,0.9704,0.9744,0.9652,0.9660,0.0000,0.0000,0.0000,0.0000
3,0.9792,0.9768,0.9784,0.9808,0.0000,0.0000,0.0000,0.0000
4,0.9812,0.9808,0.9836,0.9836,0.0000,0.0000,0.0000,0.0000
5,0.9888,0.9872,0.9872,0.9884,0.0000,0.0000,0.0000,0.0000
6,0.9872,0.9876,0.9876,0.9880,0.0000,0.0000,0.0000,0.0000
7,0.9928,0.9916,0.9932,0.9916,0.0000,0.0000,0.0000,0.0000
8,0.9920,0.9924,0.9924,0.9924,0.0000,0.0000,0.0000,0.0000
9,0.9928,0.9936,0.9948,0.9944,0.0000,0.0000,0.0000,0.0000
10,0.9952,0.9940,0.9932,0.9972,0.0000,0.0000,0.0000,0.0000
